conversation_id,conversation_event_id,text,battle_id,heal_team,character_id,movement_direction,option_id,next_conversation_event_id,gift_pokemon_id,gift_pokemon_level,new_conversation_id,mugshot_character,mugshot_background,music_id,shop_id,new_quest_id
1302,1,Time to test how much our bond has grown!,,,,,,2,,,,,,,,
1302,2,,1302,,,,,3,,,,surge,green,102,,
1302,3,Understanding the feelings of others doesn't come easy to me$ so I've still got a long way to go.,,,,,,4,,,,,,,,
1302,4,I look forward to battling you again to learn more from the way you treat your Pokemon!,,,,,,,,,,,,,,
1303,0,,,,,,,1,,,,,,,,
1303,1,,1303,,,,,,,,,erika,green,102,,
1304,0,You know$ I recently spoke to my father for the first time in years.,,,,,,1,,,,,,,,
1304,1,It was awkward at first$ he always struggled to form a connection with me.,,,,,,2,,,,,,,,
1304,2,After a while though$ we got comfortable talking with each other and I felt such a heavy burden released from my shoulders.�,,,,,,3,,,,,,,,
1304,3,Now I'll show you just how much stronger I've become!,,,,,,4,,,,,,,,
1304,4,,1304,,,,,5,,,,sabrina,purple,102,,
1304,5,Maybe one cannot simply find peace overnight.,,,,,,6,,,,,,,,
1304,6,I suppose it will take time for my wounds to fully heal$ thank you for helping me realize that.,,,,,,7,,,,,,,,
1304,7,I think I'll visit my dad again and ask him for more stories about my mother.,,,,,,,,,,,,,,
1305,0,,,,,,,1,,,,,,,,
1305,1,,1305,,,,,,,,,janine,purple,102,,
1306,0,,,,,,,1,,,,,,,,
1306,1,,1306,,,,,,,,,blaine,red,102,,
1307,0,,,,,,,1,,,,,,,,
1307,1,,1307,,,,,,,,,bugsy,green,102,,
1308,0,,,,,,,1,,,,,,,,
1308,1,,1308,,,,,,,,,falkner,lightblue,102,,
1309,0,,,,,,,1,,,,,,,,
1309,1,,1309,,,,,,,,,morty,purple,102,,
1310,0,,,,,,,1,,,,,,,,
1310,1,,1310,,,,,,,,,jasmine,yellow,102,,
1311,0,,,,,,,1,,,,,,,,
1311,1,,1311,,,,,,,,,clair,red,102,,
1312,0,,,,,,,1,,,,,,,,
1312,1,,1312,,,,,,,,,whitney,pink,102,,
1313,0,,,,,,,1,,,,,,,,
1313,1,,1313,,,,,,,,,chuck,brown,102,,
1314,0,,,,,,,1,,,,,,,,
1314,1,,1314,,,,,,,,,pryce,lightblue,102,,
1315,0,,,,,,,1,,,,,,,,
1315,1,,1315,,,,,,,,,roxanne,brown,102,,
1316,0,,,,,,,1,,,,,,,,
1316,1,,1316,,,,,,,,,brawly,yellow,102,,
1317,0,,,,,,,1,,,,,,,,
1317,1,,1317,,,,,,,,,wattson,yellow,102,,
1318,0,,,,,,,1,,,,,,,,
1318,1,,1318,,,,,,,,,flannery,red,102,,
1319,0,,,,,,,1,,,,,,,,
1319,1,,1319,,,,,,,,,norman,brown,102,,
1320,0,,,,,,,1,,,,,,,,
1320,1,,1320,,,,,,,,,winona,lightblue,102,,
1321,0,,,,,,,1,,,,,,,,
1321,1,,1321,,,,,,,,,roark,brown,102,,
1322,0,,,,,,,1,,,,,,,,
1322,1,,1322,,,,,,,,,gardenia,green,102,,
1323,0,,,,,,,1,,,,,,,,
1323,1,,1323,,,,,,,,,maylene,red,102,,
1324,0,,,,,,,1,,,,,,,,
1324,1,,1324,,,,,,,,,wake,blue,102,,
1325,0,,,,,,,1,,,,,,,,
1325,1,,1325,,,,,,,,,fantina,purple,102,,
1326,0,,,,,,,1,,,,,,,,
1326,1,,1326,,,,,,,,,byron,brown,102,,
1327,0,,,,,,,1,,,,,,,,
1327,1,,1327,,,,,,,,,candice,lightblue,102,,
1328,0,,,,,,,1,,,,,,,,
1328,1,,1328,,,,,,,,,volkner,yellow,102,,
1329,0,,,,,,,1,,,,,,,,
1329,1,,1329,,,,,,,,,lorelei,lightblue,,,
1330,0,,,,,,,1,,,,,,,,
1330,1,,1330,,,,,,,,,bruno,brown,,,
1331,0,,,,,,,1,,,,,,,,
1331,1,,1331,,,,,,,,,koga,purple,,,
1332,0,,,,,,,1,,,,,,,,
1332,1,,1332,,,,,,,,,will,purple,,,
1333,0,,,,,,,1,,,,,,,,
1333,1,,1333,,,,,,,,,karen,blue,,,
1334,0,,,,,,,1,,,,,,,,
1334,1,,1334,,,,,,,,,sidney,red,,,
1335,0,,,,,,,1,,,,,,,,
1335,1,,1335,,,,,,,,,phoebe,purple,,,
1336,0,,,,,,,1,,,,,,,,
1336,1,,1336,,,,,,,,,glacia,lightblue,,,
1337,0,,,,,,,1,,,,,,,,
1337,1,,1337,,,,,,,,,drake,red,,,
1338,0,,,,,,,1,,,,,,,,
1338,1,,1338,,,,,,,,,aaron,green,,,
1339,0,,,,,,,1,,,,,,,,
1339,1,,1339,,,,,,,,,bertha,brown,,,
1340,0,,,,,,,1,,,,,,,,
1340,1,,1340,,,,,,,,,flint,red,,,
1341,0,,,,,,,1,,,,,,,,
1341,1,,1341,,,,,,,,,gary,blue,,,
1342,0,,,,,,,1,,,,,,,,
1342,1,,1342,,,,,,,,,cassie,green,,,
1343,0,,,,,,,1,,,,,,,,
1343,1,,1343,,,,,,,,,ethan,red,,,
1344,0,,,,,,,1,,,,,,,,
1344,1,,1344,,,,,,,,,lyra,green,,,
1345,0,,,,,,,1,,,,,,,,
1345,1,,1345,,,,,,,,,silver,blue,,,
1346,0,,,,,,,1,,,,,,,,
1346,1,,1346,,,,,,,,,wally,green,,,
1347,0,,,,,,,1,,,,,,,,
1347,1,,1347,,,,,,,,,dawn,blue,,,
1348,0,,,,,,,1,,,,,,,,
1348,1,,1348,,,,,,,,,barry,yellow,,,
1349,0,,,,,,,1,,,,,,,,
1349,1,,1349,,,,,,,,,wallace,blue,,,
1350,0,,,,,,,1,,,,,,,,
1350,1,,1350,,,,,,,,,lance,red,,,
1351,0,,,,,,,1,,,,,,,,
1351,1,,1351,,,,,,,,,steven,blue,,,
1352,0,,,,,,,1,,,,,,,,
1352,1,,1352,,,,,,,,,cynthia,purple,,,
1353,0,,,,,,,1,,,,,,,,
1353,1,,1353,,,,,,,,,lucy,red,,,
1354,0,,,,,,,1,,,,,,,,
1354,1,,1354,,,,,,,,,spenser,brown,,,
1355,0,,,,,,,1,,,,,,,,
1355,1,,1355,,,,,,,,,durach,blue,,,
1356,0,,,,,,,1,,,,,,,,
1356,1,,1356,,,,,,,,,dahlia,green,,,
